,1000 HK Equity ISIN,1025 HK Equity ISIN,1033 HK Equity ISIN,1053 HK Equity ISIN,1055 HK Equity ISIN,1057 HK Equity ISIN,1065 HK Equity ISIN,1066 HK Equity ISIN,107 HK Equity ISIN,1071 HK Equity ISIN,1072 HK Equity ISIN,1075 HK Equity ISIN,1088 HK Equity ISIN,1099 HK Equity ISIN,1103 HK Equity ISIN,1108 HK Equity ISIN,1122 HK Equity ISIN,1133 HK Equity ISIN,1138 HK Equity ISIN,1157 HK Equity ISIN,1171 HK Equity ISIN,1186 HK Equity ISIN,1202 HK Equity ISIN,1211 HK Equity ISIN,1226560D HK Equity ISIN,1265 HK Equity ISIN,1288 HK Equity ISIN,1289 HK Equity ISIN,1292 HK Equity ISIN,1296 HK Equity ISIN,1330 HK Equity ISIN,1336 HK Equity ISIN,1339 HK Equity ISIN,1349 HK Equity ISIN,1353 HK Equity ISIN,1359 HK Equity ISIN,1375 HK Equity ISIN,1385 HK Equity ISIN,1398 HK Equity ISIN,1456 HK Equity ISIN,1459 HK Equity ISIN,1461 HK Equity ISIN,1476 HK Equity ISIN,1508 HK Equity ISIN,1513 HK Equity ISIN,1527 HK Equity ISIN,1528 HK Equity ISIN,1533 HK Equity ISIN,1543 HK Equity ISIN,1558 HK Equity ISIN,1577 HK Equity ISIN,1578 HK Equity ISIN,1588 HK Equity ISIN,1599 HK Equity ISIN,1606 HK Equity ISIN,161 HK Equity ISIN,1618 HK Equity ISIN,1658 HK Equity ISIN,1666 HK Equity ISIN,168 HK Equity ISIN,1708 HK Equity ISIN,1766 HK Equity ISIN,177 HK Equity ISIN,1776 HK Equity ISIN,1786 HK Equity ISIN,1798 HK Equity ISIN,1799 HK Equity ISIN,1800 HK Equity ISIN,1812 HK Equity ISIN,1816 HK Equity ISIN,1818 HK Equity ISIN,1819 HK Equity ISIN,1829 HK Equity ISIN,1858 HK Equity ISIN,187 HK Equity ISIN,1893 HK Equity ISIN,1898 HK Equity ISIN,1919 HK Equity ISIN,1958 HK Equity ISIN,1963 HK Equity ISIN,1988 HK Equity ISIN,2006 HK Equity ISIN,2009 HK Equity ISIN,2016 HK Equity ISIN,2039 HK Equity ISIN,2066 HK Equity ISIN,2068 HK Equity ISIN,2120 HK Equity ISIN,2196 HK Equity ISIN,2202 HK Equity ISIN,2208 HK Equity ISIN,2218 HK Equity ISIN,2238 HK Equity ISIN,2284974Q HK Equity ISIN,2289 HK Equity ISIN,2308 HK Equity ISIN,2318 HK Equity ISIN,2328 HK Equity ISIN,2333 HK Equity ISIN,2337 HK Equity ISIN,2338 HK Equity ISIN,2345 HK Equity ISIN,2355 HK Equity ISIN,2357 HK Equity ISIN,2386 HK Equity ISIN,2488 HK Equity ISIN,2600 HK Equity ISIN,2601 HK Equity ISIN,2607 HK Equity ISIN,2626 HK Equity ISIN,2628 HK Equity ISIN,2698 HK Equity ISIN,2722 HK Equity ISIN,2727 HK Equity ISIN,2777 HK Equity ISIN,2799 HK Equity ISIN,2866 HK Equity ISIN,2868 HK Equity ISIN,2880 HK Equity ISIN,2883 HK Equity ISIN,2899 HK Equity ISIN,300 HK Equity ISIN,317 HK Equity ISIN,323 HK Equity ISIN,3323 HK Equity ISIN,3328 HK Equity ISIN,3330 HK Equity ISIN,3332 HK Equity ISIN,3355 HK Equity ISIN,3369 HK Equity ISIN,3378 HK Equity ISIN,338 HK Equity ISIN,3396 HK Equity ISIN,3399 HK Equity ISIN,347 HK Equity ISIN,350 HK Equity ISIN,357 HK Equity ISIN,358 HK Equity ISIN,3606 HK Equity ISIN,3618 HK Equity ISIN,3636 HK Equity ISIN,3658744Q HK Equity ISIN,3678 HK Equity ISIN,3698 HK Equity ISIN,38 HK Equity ISIN,3833 HK Equity ISIN,386 HK Equity ISIN,3866 HK Equity ISIN,3898 HK Equity ISIN,390 HK Equity ISIN,3903 HK Equity ISIN,3908 HK Equity ISIN,3928 HK Equity ISIN,3948 HK Equity ISIN,3958 HK Equity ISIN,3968 HK Equity ISIN,3969 HK Equity ISIN,3983 HK Equity ISIN,3988 HK Equity ISIN,3993 HK Equity ISIN,3996 HK Equity ISIN,416 HK Equity ISIN,42 HK Equity ISIN,438 HK Equity ISIN,489 HK Equity ISIN,525 HK Equity ISIN,548 HK Equity ISIN,549 HK Equity ISIN,552 HK Equity ISIN,553 HK Equity ISIN,564 HK Equity ISIN,568 HK Equity ISIN,576 HK Equity ISIN,579 HK Equity ISIN,588 HK Equity ISIN,598 HK Equity ISIN,6030 HK Equity ISIN,6116 HK Equity ISIN,6138 HK Equity ISIN,6178 HK Equity ISIN,6188 HK Equity ISIN,6196 HK Equity ISIN,6198 HK Equity ISIN,6199 HK Equity ISIN,670 HK Equity ISIN,6818 HK Equity ISIN,6826 HK Equity ISIN,6837 HK Equity ISIN,6839 HK Equity ISIN,6865 HK Equity ISIN,6866 HK Equity ISIN,6869 HK Equity ISIN,6881 HK Equity ISIN,6886 HK Equity ISIN,694 HK Equity ISIN,696 HK Equity ISIN,719 HK Equity ISIN,728 HK Equity ISIN,739 HK Equity ISIN,74 HK Equity ISIN,747 HK Equity ISIN,753 HK Equity ISIN,763 HK Equity ISIN,8045 HK Equity ISIN,8049 HK Equity ISIN,8058 HK Equity ISIN,8095 HK Equity ISIN,8106 HK Equity ISIN,811 HK Equity ISIN,8115 HK Equity ISIN,814 HK Equity ISIN,816 HK Equity ISIN,8188 HK Equity ISIN,8189 HK Equity ISIN,8197 HK Equity ISIN,8205 HK Equity ISIN,8211 HK Equity ISIN,8227 HK Equity ISIN,8235 HK Equity ISIN,8236 HK Equity ISIN,8243 HK Equity ISIN,8247 HK Equity ISIN,8249 HK Equity ISIN,8253 HK Equity ISIN,8258 HK Equity ISIN,8273 HK Equity ISIN,8286 HK Equity ISIN,8301 HK Equity ISIN,8329 HK Equity ISIN,8348 HK Equity ISIN,839 HK Equity ISIN,840 HK Equity ISIN,857 HK Equity ISIN,874 HK Equity ISIN,895 HK Equity ISIN,902 HK Equity ISIN,914 HK Equity ISIN,916 HK Equity ISIN,921 HK Equity ISIN,939 HK Equity ISIN,954 HK Equity ISIN,956 HK Equity ISIN,958 HK Equity ISIN,980 HK Equity ISIN,991 HK Equity ISIN,995 HK Equity ISIN,998 HK Equity ISIN,Date,SZRCCQ HK Equity ISIN
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93/7,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05205671766051912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.024685515111858125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93/8,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15588657547307305,,,,,,,,,,,,,,,0.13646686111783826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12790146614180306,,,,,,,,,0.38457086421591286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93/9,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08037936217143223,,,,,,,,,,,,,,,-0.11137571234218946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08956719593000145,,,,,,,,,0.11442220132944554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93/10,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41140525708960696,,,,,,,,,,,,,,,0.19003397018865018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3470800144397102,,,,,,,,,0.43039571859530007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93/11,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2577893815399575,,,,,,,,,,,,,,,0.1292134979920289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23122982919437388,0.20685239797919758,,,,,,,,0.10192283273260463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93/12,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2411195757096492,,,,,,,,,,,,,,,0.013273273597170652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39135285310366696,0.26405374642847773,0.2621684745964192,,,,,,,,0.1276849126461896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94/1,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36681189600100106,,,,,,,,,,,,,,,0.16525554930811528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23797389584495643,0.10085052516999285,0.5962760359684889,,,,,,,,0.39484777801822674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94/2,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11846885550118952,,,,,,,,,,,,,,,0.17781471531799012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28742505262446394,0.32223956500534034,0.26275653586057035,,,,,,,,0.37180903039818164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94/3,
9,,,0.28133161122079364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3028729975931591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25448981636271456,0.32289380242295096,0.3597883874667095,,,,,,,,0.4623608939392459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94/4,
10,,,0.38741418475920264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329783834506061,,,,,,,,,,,,,,,0.19025125737542525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2138052897952112,0.31267230801427004,0.22181905414743064,,,,,,,,0.3014923423691654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94/5,
11,,,0.14317321506327696,,,,0.15599951539753334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10382367439725253,,,,,,,,,,,,,,,0.0020638650435791687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002392918795568707,0.2974724893654244,0.3221673557852517,,,,,,,,0.3185630903943956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94/6,
